,MP Destination Station,Train Number,Train Name,Source City,Departure Time,Arrival Time,Duration (hrs),Frequency,3AC Cost (INR),Sleeper Cost (INR)
117,Satna,12190,Mahakaushal Exp,Gwalior,21:26,06:25,9.0,Daily,820,310
118,Satna,12176,Chambal Express,Gwalior,07:15,16:30,9.25,"Tue, Thu, Sat",810,305
119,Satna,11107,Bundelkhand Exp,Gwalior,04:15,13:20,9.08,"Mon, Wed, Fri",800,300
120,Chhatarpur,12176,Chambal Express,Gwalior,07:15,12:30,5.25,"Tue, Thu, Sat",600,220
121,Chhatarpur,11842,Gita Jayanti Exp,Gwalior,00:18,06:00,5.7,"Mon, Wed, Fri",590,210
122,Chhatarpur,22470,Vande Bharat Exp,Gwalior,09:10,14:20,5.17,"Tue, Thu, Sat",580,205
123,Khandwa,12628,Karnataka Exp,Gwalior,01:30,11:00,9.5,Daily,850,320
124,Khandwa,12716,Sachkhand Exp,Gwalior,17:08,02:30,9.37,"Mon, Thu",840,315
125,Khandwa,12486,SGNR NED SF Exp,Gwalior,03:00,13:05,10.08,"Tue, Fri",830,310
126,Omkareshwar,12628,Karnataka Exp,Gwalior,01:30,11:07,9.62,Daily,850,320
127,Omkareshwar,12716,Sachkhand Exp,Gwalior,17:08,02:30,9.37,"Mon, Thu",840,315
128,Bhopal,22188,Intercity Express,Jabalpur,16:35,22:23,5.8,Daily,560,150
129,Bhopal,18234,Narmada Express,Jabalpur,20:50,04:05,7.25,Daily,225,130
130,Bhopal,22192,JBP INDB SF Express,Jabalpur,23:30,05:10,5.67,Daily,255,150
131,Indore,18234,Narmada Express,Jabalpur,20:50,10:55,14.08,Daily,345,190
132,Indore,22192,JBP INDB SF Express,Jabalpur,23:30,09:35,10.08,Daily,360,200
133,Gwalior,22181,JBP NZM SF Express,Jabalpur,15:15,23:43,8.47,Daily,370,190
134,Gwalior,12189,Mahakoshal Express,Jabalpur,18:10,03:00,8.83,Daily,380,200
135,Ujjain,18234,Narmada Express,Jabalpur,20:50,10:55,14.08,Daily,345,190
136,Ujjain,2134,BDTS Festival Special,Jabalpur,17:00,01:40,8.67,Friday,350,200
137,Katni,11272,Vindhyachal Express,Jabalpur,06:50,10:30,3.67,Daily,150,80
138,Katni,19045,Tapti Ganga Express,Jabalpur,23:50,03:30,3.67,Daily,160,90
139,Seoni,11202,SDL NGP Express,Jabalpur,09:00,13:00,4.0,Daily,200,100
140,Seoni,11756,Rewa ITR Express,Jabalpur,21:40,01:40,4.0,"Tue, Thu, Fri",210,110
141,Satna,15017,LTT GKP Express,Jabalpur,01:05,04:00,2.92,Daily,220,120
142,Satna,19045,Tapti Ganga Express,Jabalpur,23:50,03:05,3.25,Daily,230,130
143,Chhatarpur,12189,Mahakaushal Express,Jabalpur,18:10,23:00,4.83,Daily,300,150
144,Khandwa,12520,AGTL LTT AC Express,Jabalpur,01:15,07:30,6.25,Saturday,350,180
145,Khandwa,15018,GKP LTT Express,Jabalpur,22:45,05:00,6.25,Daily,360,190
146,Omkareshwar,20906,EKNR Mahamana,Jabalpur,00:25,10:30,10.08,Daily,400,200
147,Omkareshwar,12187,Garib Rath Express,Jabalpur,02:15,12:20,10.08,"Mon, Thu",410,210
148,Khajuraho,12189,Mahakaushal Express,Jabalpur,18:10,01:08,6.97,Daily,300,150
149,Bhopal,22164,Mahamana Express,Chhatarpur,17:25,23:00,5.58,"Tue, Thu",700,250
150,Bhopal,14116,PRYJ DADN Express,Khajuraho,21:25,05:00,7.58,Daily,680,240
151,Bhopal,1026,BUI DR SPL,Khajuraho,06:10,13:50,7.67,"Mon, Thu, Sat",690,245
152,Gwalior,12189,Mahakaushal Express,Chhatarpur,01:45,06:00,4.25,Daily,800,300
153,Gwalior,12175,Chambal Express,Chhatarpur,12:57,17:30,4.55,"Mon, Wed, Thu",820,310
154,Gwalior,19665,KURJ UDZ Express,Khajuraho,09:25,14:00,4.58,Daily,810,305
155,Katni,12190,Mahakaushal Express,Chhatarpur,22:38,04:30,5.87,Daily,850,320
156,Katni,12190,Mahakaushal Express,Khajuraho,23:28,05:15,5.78,Daily,830,310
157,Katni,12190,Mahakaushal Express,Khajuraho,23:15,07:35,8.33,Daily,840,315
158,Seoni,19484,BJU ADI Express,Khajuraho,12:50,22:30,9.67,"Mon, Wed, Fri",850,320
159,Seoni,19436,ASN ADI Express,Khajuraho,14:00,23:30,9.5,"Tue, Thu, Sat",830,310
160,Seoni,1002,BUI LTT FEST SPL,Chhatarpur,07:42,17:15,9.55,Sun,840,315
161,Indore,14116,PRYJ DADN Express,Chhatarpur,22:24,08:25,10.02,Daily,600,220
162,Indore,19664,KURJ INDB Express,Khajuraho,23:30,12:00,12.5,"Sun, Tue, Fri, Sat",590,210
163,Indore,19166,Sabarmati Express,Chhatarpur,03:44,14:30,10.77,"Mon, Wed, Fri",595,215
164,Ujjain,14116,PRYJ DADN Express,Chhatarpur,22:24,07:30,9.1,Daily,600,220
165,Ujjain,14116,PRYJ DADN Express,Khajuraho,21:20,06:30,9.17,Daily,590,210
166,Ujjain,19166,Sabarmati Express,Chhatarpur,03:44,13:00,9.27,"Mon, Wed, Fri",595,215
167,Jabalpur,12190,Mahakaushal Express,Chhatarpur,00:47,06:30,5.72,Daily,850,320
168,Jabalpur,12190,Mahakaushal Express,Khajuraho,23:28,05:15,5.78,Daily,830,310
169,Jabalpur,12190,Mahakaushal Express,Khajuraho,09:40,15:30,5.83,Daily,840,315
170,Satna,12190,Mahakaushal Express,Chhatarpur,00:47,06:00,5.22,Daily,820,310
171,Satna,12178,Chambal Express,Chhatarpur,02:30,07:45,5.25,"Mon, Wed, Fri",830,315
172,Satna,11107,Bundelkhand Express,Chhatarpur,04:15,09:30,5.25,"Tue, Thu, Sat",840,320
173,Khandwa,19484,BJU ADI Express,Khajuraho,12:50,22:30,9.67,"Mon, Wed, Fri",800,300
174,Khandwa,19436,ASN ADI Express,Khajuraho,14:00,23:30,9.5,"Tue, Thu, Sat",820,310
175,Khandwa,1002,BUI LTT FEST SPL,Chhatarpur,07:42,17:15,9.55,Sun,810,305
176,Omkareshwar,19484,BJU ADI Express,Khajuraho,12:50,22:30,9.67,"Mon, Wed, Fri",800,300
177,Omkareshwar,19436,ASN ADI Express,Khajuraho,14:00,23:30,9.5,"Tue, Thu, Sat",820,310
178,Omkareshwar,1002,BUI LTT FEST SPL,Chhatarpur,07:42,17:15,9.55,Sun,810,305
179,Bhopal,12143,LTT SLN SF EXP,Khandwa,01:10,05:15,4.08,Daily,700,250
180,Bhopal,12943,UDYOGKARMI EXP,Khandwa,06:40,10:50,4.17,"Mon, Wed, Fri",680,240
181,Bhopal,17020,HYB HSR EXPRESS,Khandwa,09:40,14:00,4.33,"Tue, Thu",690,245
182,Gwalior,12715,SACHKHAND EXP,Khandwa,20:55,06:16,9.35,Daily,800,300
183,Gwalior,12439,NED SGNR EXP,Khandwa,20:15,06:05,9.83,"Sun, Wed, Fri",820,310
184,Gwalior,12627,KARNATAKA EXP,Khandwa,19:35,04:20,8.75,"Mon, Thu, Sat",810,305
185,Katni,11081,LTT GKP EXPRESS,Khandwa,02:05,10:30,8.42,Thu,850,320
186,Katni,11071,KAMAYANI EXPRESS,Khandwa,21:50,06:30,8.67,Daily,830,310
187,Katni,13202,LTT PATNA EXP,Khandwa,12:25,21:00,8.58,"Mon, Wed, Fri",840,315
188,Seoni,11033,DARBHANGA EXP,Khandwa,01:10,11:05,9.92,"Tue, Thu, Sat",850,320
189,Seoni,11037,PUNE GKP EXPRESS,Khandwa,23:45,09:40,9.92,"Mon, Wed, Fri",830,310
190,Seoni,11067,SAKET EXPRESS,Khandwa,06:00,15:55,9.92,"Tue, Thu, Sat",840,315
191,Indore,12720,HYB JP SF EXP,Khandwa,09:40,17:00,7.33,"Tue, Thu",600,220
192,Indore,17020,HYB HSR EXPRESS,Khandwa,09:40,17:00,7.33,"Mon, Wed, Fri",590,210
193,Indore,7020,HYB JP SPL,Khandwa,09:30,17:00,7.5,Sat,595,215
194,Ujjain,12720,HYB JP SF EXP,Khandwa,09:40,17:12,7.53,"Tue, Thu",600,220
195,Ujjain,17020,HYB HSR EXPRESS,Khandwa,09:40,17:12,7.53,"Mon, Wed, Fri",590,210
196,Ujjain,7020,HYB JP SPL,Khandwa,09:30,17:12,7.7,Sat,595,215
197,Jabalpur,18610,LTT RANCHI EXP,Khandwa,02:35,08:25,5.83,Sun,850,320
198,Jabalpur,12188,JBP GARIB RATH,Khandwa,23:20,05:10,5.83,"Sun, Tue, Thu",830,310
199,Jabalpur,11081,LTT GKP EXPRESS,Khandwa,02:05,07:55,5.83,Thu,840,315
200,Satna,11081,LTT GKP EXPRESS,Khandwa,02:05,10:30,8.42,Thu,820,310
201,Satna,11071,KAMAYANI EXPRESS,Khandwa,21:50,06:30,8.67,Daily,830,315
202,Satna,13202,LTT PATNA EXP,Khandwa,12:25,21:00,8.58,"Mon, Wed, Fri",840,320
203,Chhatarpur,19483,ADI BJU EXP,Khandwa,13:50,22:50,9.0,"Mon, Wed, Fri",800,300
204,Chhatarpur,19483,ADI BJU EXP,Khandwa,13:50,22:50,9.0,"Tue, Thu, Sat",820,310
205,Chhatarpur,19483,ADI BJU EXP,Khandwa,13:50,22:50,9.0,Sun,810,305
206,Khajuraho,19483,ADI BJU EXP,Khandwa,13:50,00:10,10.33,"Mon, Wed, Fri",800,300
207,Khajuraho,19483,ADI BJU EXP,Khandwa,13:50,00:10,10.33,"Tue, Thu, Sat",820,310
208,Khajuraho,19483,ADI BJU EXP,Khandwa,13:50,00:10,10.33,Sun,810,305
